,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
262,SPRINGFIELD SECONDARY SCHOOL,30,TAMPINES AVENUE 8,SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8 SPRINGFIELD SECONDARY SCHOOL SINGAPORE 529593,529593,38799.0137778232,36854.6606742647,1.34957303471476,103.930354460693,Springfield Secondary School
263,SOUTH VIEW PRIMARY SCHOOL,6,CHOA CHU KANG CENTRAL,SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL SOUTH VIEW PRIMARY SCHOOL SINGAPORE 689762,689762,18313.2418920035,40403.3706761971,1.38166664389749,103.746275846011,South View Primary School
264,WEST SPRING SECONDARY SCHOOL,61,SENJA ROAD,WEST SPRING SECONDARY SCHOOL,61 SENJA ROAD WEST SPRING SECONDARY SCHOOL SINGAPORE 677737,677737,19854.9273258867,41084.0393943992,1.38782283303782,103.760128840155,West Spring Secondary School
265,AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65,JURONG EAST STREET 13,AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 AMP-MERCU STUDENT CARE CENTRE @ FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,17179.4264072292,35419.8652930856,1.33659726465816,103.736089481883,Fuhua Primary School
266,FUHUA PRIMARY SCHOOL,65,JURONG EAST STREET 13,FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13 FUHUA PRIMARY SCHOOL SINGAPORE 609647,609647,17181.0134181511,35409.5467255618,1.33650394789627,103.736103745748,Fuhua Primary School
267,SI LING PRIMARY SCHOOL,61,WOODLANDS AVENUE 1,SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1 SI LING PRIMARY SCHOOL SINGAPORE 739067,739067,22738.0565941427,46014.1202728488,1.43240935732525,103.786035065192,Si Ling Primary School
268,AHMAD IBRAHIM PRIMARY SCHOOL,10,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,27958.1371433474,46096.2627680488,1.43315271543517,103.832942401086,Ahmad Ibrahim Primary School
269,MARSILING PRIMARY SCHOOL,31,WOODLANDS CENTRE ROAD,MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD MARSILING PRIMARY SCHOOL SINGAPORE 738927,738927,21359.011448958,46172.2397052329,1.43383904037059,103.773643013846,Marsiling Primary School
270,TEMASEK PRIMARY SCHOOL,501,BEDOK SOUTH AVENUE 3,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVENUE 3 TEMASEK PRIMARY SCHOOL SINGAPORE 469300,469300,40494.7969370941,33331.1191061512,1.31770677551333,103.945590669163,Temasek Primary School
271,BUKIT MERAH SECONDARY SCHOOL,10,LENGKOK BAHRU,BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050,159050,25787.5608570725,29790.9091712814,1.28569283064288,103.813438929393,Bukit Merah Secondary School
272,SINGAPORE SPORTS SCHOOL,1,CHAMPIONS WAY,SINGAPORE SPORTS SCHOOL,1 CHAMPIONS WAY SINGAPORE SPORTS SCHOOL SINGAPORE 737913,737913,23117.4954931987,45350.8892124798,1.42641140556342,103.789444793951,Singapore Sports School
273,SINGAPORE SPORTS SCHOOL HOSTEL,3,CHAMPIONS WAY,SINGAPORE SPORTS SCHOOL HOSTEL,3 CHAMPIONS WAY SINGAPORE SPORTS SCHOOL HOSTEL SINGAPORE 737912,737912,22910.2133790664,45425.4911659677,1.42708604194033,103.78758216096,Singapore Sports School
274,SINGAPORE SPORTS SCHOOL HOSTELS,3,CHAMPIONS WAY,SINGAPORE SPORTS SCHOOL HOSTELS,3 CHAMPIONS WAY SINGAPORE SPORTS SCHOOL HOSTELS SINGAPORE 737912,737912,22907.5492819436,45417.83466761,1.4270167988804,103.787558222969,Singapore Sports School
